time,wx,wy,wz
10.637,-0.01,-0.05,-0.00
10.652,-0.02,-0.04,-0.01
10.670,-0.03,-0.04,-0.01
10.687,-0.04,-0.02,-0.01
10.703,-0.05,-0.01,-0.01
10.720,-0.05,0.00,-0.01
10.737,-0.04,0.00,-0.01
10.752,-0.03,-0.01,-0.01
10.770,-0.03,-0.03,-0.00
10.787,-0.02,-0.04,0.00
10.803,-0.02,-0.04,0.00
10.820,-0.02,-0.02,0.00
10.837,-0.02,-0.01,-0.00
10.853,-0.01,-0.00,-0.00
10.870,-0.01,-0.01,-0.00
10.887,-0.00,-0.03,0.00
10.903,-0.00,-0.05,0.00
10.920,-0.01,-0.05,-0.00
10.936,-0.01,-0.04,-0.00
10.952,-0.01,-0.02,-0.01
10.970,-0.02,-0.02,-0.01
10.987,-0.03,-0.01,-0.01
11.003,-0.04,-0.00,-0.01
11.020,-0.04,-0.01,-0.01
11.037,-0.03,-0.02,-0.01
11.052,-0.01,-0.03,-0.00
11.087,-0.01,-0.04,-0.00
11.103,-0.00,-0.06,-0.00
11.120,-0.00,-0.07,-0.00
11.153,-0.00,-0.05,-0.01
11.170,-0.01,-0.02,-0.01
11.186,-0.01,-0.01,-0.01
11.203,-0.01,-0.01,-0.01
11.220,-0.02,-0.03,-0.00
11.237,-0.02,-0.04,-0.00
11.252,-0.02,-0.05,-0.00
11.270,-0.02,-0.03,-0.01
11.286,-0.01,-0.02,-0.01
11.303,-0.00,-0.01,-0.01
11.320,-0.00,-0.01,-0.01
11.337,-0.00,-0.01,-0.01
11.352,-0.01,-0.01,-0.01
11.370,-0.01,-0.00,-0.01
11.387,-0.00,0.01,-0.01
11.403,-0.00,0.01,-0.01
11.420,0.00,0.01,-0.01
11.437,0.00,0.01,-0.00
11.453,-0.00,0.02,-0.00
11.472,-0.00,0.02,-0.00
11.487,-0.00,0.02,-0.00
11.503,-0.00,0.03,-0.01
11.520,-0.01,0.03,-0.01
11.537,-0.01,0.03,-0.01
11.553,-0.00,0.04,-0.01
11.570,0.00,0.03,-0.01
11.587,0.01,0.03,-0.01
11.603,0.00,0.03,-0.01
11.620,-0.00,0.04,-0.01
11.637,0.00,0.05,-0.00
11.670,0.00,0.05,-0.00
11.687,-0.01,0.05,0.00
11.703,-0.00,0.05,0.00
11.737,0.02,0.03,0.00
11.752,0.01,0.02,0.00
11.770,0.01,0.02,0.00
11.787,0.02,0.02,-0.00
11.803,0.02,0.02,-0.00
11.820,0.01,0.02,-0.00
11.837,-0.00,0.02,-0.00
11.853,-0.00,0.02,-0.00
11.870,-0.00,0.02,-0.00
11.887,-0.00,0.02,-0.00
11.903,-0.00,0.02,0.00
11.920,-0.00,0.01,0.00
11.937,-0.00,0.01,-0.00
11.953,0.00,0.01,-0.00
11.970,0.01,0.01,-0.00
11.987,0.01,0.01,-0.00
12.003,0.01,-0.00,0.00
12.020,0.01,-0.01,0.01
12.037,0.01,-0.01,0.01
12.052,0.01,0.01,0.00
12.070,0.00,0.02,0.00
12.087,0.00,0.02,0.00
12.103,0.00,0.02,0.00
12.120,-0.00,0.01,0.00
12.137,0.00,0.00,0.01
12.153,0.01,-0.00,0.01
12.170,0.01,-0.01,0.01
12.187,0.01,-0.01,0.01
12.203,0.01,-0.01,0.00
12.220,0.01,0.00,0.00
12.252,0.01,0.01,0.00
12.270,0.00,0.00,0.00
12.287,-0.00,0.00,0.00
12.320,0.01,-0.01,0.01
12.337,0.02,-0.04,0.01
12.352,0.03,-0.06,0.00
12.370,0.03,-0.03,0.00
12.387,0.01,0.03,-0.01
12.403,0.00,0.06,-0.02
12.420,-0.01,0.05,-0.01
12.437,-0.01,0.03,-0.01
12.452,-0.01,0.02,0.00
12.470,-0.01,0.02,0.00
12.487,-0.00,0.01,0.00
12.503,0.01,-0.01,0.01
12.523,0.02,-0.03,0.01
12.537,0.03,-0.03,0.00
12.552,0.03,-0.01,-0.01
12.570,0.02,0.02,-0.01
12.587,0.01,0.03,-0.01
12.603,0.00,0.03,-0.01
12.620,-0.00,0.01,0.00
12.637,-0.00,-0.01,0.01
12.652,0.00,-0.03,0.01
12.669,0.00,-0.04,0.01
12.687,0.00,-0.04,0.01
12.703,0.02,-0.03,0.01
12.720,0.02,-0.02,0.01
12.737,0.02,-0.03,0.01
12.753,0.01,-0.05,0.01
12.770,0.01,-0.07,0.02
12.787,0.02,-0.07,0.01
12.803,0.04,-0.07,0.01
12.820,0.04,-0.06,0.01
12.837,0.02,-0.04,0.01
12.852,0.01,-0.03,0.01
12.870,0.01,-0.02,0.01
12.903,0.01,-0.03,0.00
12.920,-0.01,0.00,0.00
12.937,-0.02,0.04,-0.00
12.970,-0.04,0.08,-0.00
12.987,-0.04,0.07,-0.00
13.003,-0.03,0.05,0.01
13.020,-0.02,0.03,0.01
13.037,-0.02,0.02,0.01
13.052,-0.01,0.04,0.01
13.070,-0.01,0.05,0.01
13.087,-0.01,0.05,-0.00
13.103,0.01,0.09,-0.00
13.120,0.01,0.08,0.02
13.137,0.01,0.02,0.03
13.152,-0.01,0.01,0.03
13.169,-0.04,0.06,0.01
13.187,-0.03,0.21,-0.01
13.203,0.03,0.37,-0.04
13.220,0.08,0.53,-0.05
13.237,0.08,1.13,-0.12
13.252,0.04,0.98,-0.10
13.270,-0.20,0.85,0.04
13.287,-0.16,0.30,0.04
13.303,0.01,-0.16,0.04
13.320,0.09,-0.30,0.06
13.337,0.07,-0.32,0.12
13.352,0.05,-0.28,0.14
13.370,0.05,-0.25,0.15
13.387,0.06,-0.20,0.14
13.403,0.05,-0.09,0.12
13.420,0.01,0.05,0.08
13.437,-0.02,0.20,0.07
13.452,-0.02,0.42,0.06
13.487,-0.03,0.41,0.06
13.503,-0.53,-0.31,0.23
13.520,-0.25,-0.61,0.18
13.552,0.12,-0.65,0.17
13.573,0.10,-0.33,0.11
13.586,0.08,0.10,0.09
13.603,0.03,0.36,0.09
13.620,0.02,0.49,0.10
13.637,-0.05,0.45,0.15
13.652,-0.13,0.27,0.20
13.669,-0.13,0.02,0.23
13.687,-0.10,-0.13,0.27
13.703,-0.04,-0.20,0.32
13.720,0.02,-0.33,0.41
13.736,0.02,-0.53,0.46
13.752,-0.07,-0.62,0.44
13.770,-0.16,-0.58,0.37
13.786,-0.25,-0.53,0.33
13.803,-0.39,-0.53,0.31
13.820,-0.62,-0.64,0.24
13.836,-0.89,-0.88,0.17
13.853,-1.21,-1.05,0.06
13.870,-1.48,-0.68,-0.14
13.887,-1.46,0.67,-0.36
13.903,-1.43,2.10,-0.58
13.920,-1.54,2.41,-0.64
13.936,-1.84,1.35,-0.51
13.952,-2.20,-0.84,-0.29
