time,ax,ay,az,atotal
3.782,0.16,-0.01,-0.06,0.18
3.792,0.18,-0.02,-0.04,0.18
3.802,0.16,-0.01,-0.04,0.17
3.812,0.14,-0.03,-0.03,0.14
3.822,0.14,-0.01,-0.01,0.14
3.832,0.15,-0.01,0.01,0.15
3.842,0.16,0.00,0.03,0.16
3.852,0.16,0.00,0.03,0.16
3.862,0.14,0.01,0.04,0.15
3.872,0.14,0.02,0.07,0.15
3.882,0.11,0.04,0.04,0.13
3.892,0.11,0.03,0.05,0.12
3.902,0.09,0.04,0.05,0.11
3.912,0.06,0.02,0.06,0.09
3.922,0.05,-0.00,0.05,0.07
3.932,0.04,-0.03,0.04,0.06
3.942,0.05,-0.02,0.04,0.07
3.952,0.06,-0.02,0.04,0.07
3.962,0.07,-0.03,0.04,0.09
3.972,0.07,-0.04,0.03,0.09
3.981,0.07,-0.01,0.03,0.08
3.992,0.07,0.01,0.02,0.07
4.002,0.05,0.02,0.04,0.07
4.012,0.03,0.02,0.02,0.05
4.022,0.03,0.04,-0.00,0.04
4.032,0.01,0.04,-0.01,0.04
4.041,0.00,0.03,-0.01,0.03
4.051,0.01,0.02,-0.02,0.03
4.061,0.02,0.02,-0.04,0.05
4.071,0.02,0.03,-0.04,0.05
4.081,0.05,0.02,-0.04,0.07
4.091,0.07,0.02,-0.04,0.09
4.101,0.09,0.02,-0.03,0.09
4.111,0.09,0.03,0.00,0.10
4.121,0.09,0.04,0.02,0.10
4.131,0.10,0.04,0.05,0.12
4.141,0.10,0.04,0.08,0.13
4.151,0.11,0.02,0.10,0.15
4.161,0.11,0.01,0.10,0.15
4.171,0.12,0.01,0.12,0.17
4.181,0.14,0.01,0.15,0.20
4.191,0.17,-0.02,0.15,0.23
4.201,0.16,-0.02,0.12,0.20
4.211,0.16,0.00,0.11,0.20
4.221,0.16,-0.01,0.09,0.18
4.231,0.13,0.01,0.06,0.15
4.241,0.07,0.03,0.05,0.09
4.251,-0.00,0.03,0.05,0.05
4.261,-0.04,0.02,0.06,0.08
4.271,-0.08,-0.00,0.07,0.10
4.281,-0.10,-0.02,0.07,0.12
4.291,-0.11,-0.04,0.05,0.13
4.301,-0.10,-0.03,0.04,0.11
4.311,-0.06,0.01,0.01,0.06
4.321,0.00,0.01,-0.01,0.01
4.331,0.06,0.00,-0.03,0.06
4.341,0.11,-0.01,-0.02,0.11
4.351,0.12,0.02,-0.02,0.13
4.361,0.15,0.03,-0.03,0.15
4.371,0.15,0.04,0.01,0.15
4.381,0.15,0.03,0.03,0.16
4.391,0.16,0.03,0.05,0.17
4.401,0.17,0.03,0.06,0.19
4.411,0.20,0.02,0.07,0.21
4.421,0.20,0.02,0.07,0.21
4.431,0.20,0.02,0.08,0.22
4.441,0.22,0.02,0.05,0.22
4.451,0.22,0.00,0.02,0.22
4.461,0.19,-0.01,-0.01,0.19
4.471,0.15,-0.03,-0.03,0.16
4.481,0.11,-0.04,-0.06,0.13
4.490,0.08,-0.03,-0.06,0.11
4.501,0.04,-0.02,-0.05,0.07
4.511,0.02,-0.01,-0.03,0.03
4.521,-0.01,-0.01,-0.02,0.03
4.531,-0.01,-0.01,-0.01,0.02
4.540,0.00,-0.02,0.01,0.02
4.551,0.02,-0.01,0.03,0.03
4.560,0.04,-0.00,0.04,0.05
4.570,0.06,-0.00,0.06,0.09
4.581,0.09,0.01,0.07,0.11
4.590,0.08,0.02,0.07,0.11
4.600,0.06,0.02,0.09,0.11
4.610,0.04,0.03,0.10,0.11
4.620,0.02,0.01,0.11,0.11
4.630,0.01,-0.00,0.11,0.11
4.640,-0.00,0.01,0.11,0.11
4.650,-0.02,0.02,0.12,0.12
4.660,-0.02,0.03,0.11,0.11
4.670,0.00,0.02,0.11,0.11
4.680,0.01,0.01,0.10,0.10
4.690,0.03,-0.01,0.07,0.08
4.700,0.03,-0.01,0.08,0.09
4.710,0.04,-0.01,0.04,0.06
