time,ax,ay,az,atotal
2.964,0.04,0.01,-0.11,0.11
2.974,-0.10,0.00,-0.17,0.20
2.984,-0.04,0.05,-0.20,0.21
2.994,0.06,0.08,-0.12,0.16
3.004,0.09,0.02,0.03,0.10
3.014,0.10,0.03,0.12,0.16
3.024,0.05,0.02,0.17,0.17
3.034,0.03,0.00,0.15,0.16
3.044,0.05,0.01,0.08,0.10
3.054,0.05,0.00,0.05,0.07
3.064,0.01,-0.01,0.04,0.04
3.074,0.00,-0.02,0.04,0.04
3.084,0.00,-0.03,0.00,0.03
3.094,0.03,-0.03,-0.06,0.08
3.104,0.05,-0.05,-0.09,0.12
3.114,0.05,-0.02,-0.11,0.12
3.124,0.05,-0.01,-0.10,0.11
3.134,0.14,-0.00,-0.00,0.14
3.144,-0.03,-0.01,-0.12,0.12
3.154,-0.06,0.03,-0.13,0.15
3.164,-0.00,0.08,-0.08,0.11
3.173,0.07,0.04,0.01,0.08
3.184,0.03,0.02,0.03,0.04
3.194,-0.05,0.04,-0.00,0.06
3.204,-0.00,0.03,-0.02,0.03
3.213,0.04,-0.00,0.02,0.05
3.223,0.06,-0.03,0.07,0.09
3.233,0.06,-0.05,0.08,0.11
3.244,0.04,-0.05,0.06,0.09
3.253,0.05,-0.05,0.01,0.07
3.264,0.03,-0.04,-0.02,0.06
3.273,0.03,-0.03,-0.02,0.04
3.283,-0.02,-0.01,-0.06,0.06
3.293,-0.02,0.03,-0.07,0.08
3.303,0.02,0.04,-0.08,0.09
3.313,0.04,0.04,-0.07,0.09
3.323,0.06,0.05,-0.04,0.09
3.333,0.06,0.05,-0.03,0.08
3.343,0.05,0.04,-0.04,0.08
3.353,0.05,0.02,-0.04,0.07
3.363,0.02,0.02,-0.02,0.03
3.373,-0.02,0.01,-0.01,0.03
3.383,-0.03,-0.00,-0.01,0.03
3.393,-0.01,-0.02,0.03,0.04
3.403,0.01,-0.00,0.03,0.03
3.413,0.01,-0.02,0.02,0.03
3.423,0.01,-0.04,0.04,0.06
3.433,0.05,-0.03,0.03,0.07
3.443,0.07,-0.00,0.01,0.07
3.453,0.05,-0.02,-0.03,0.06
3.463,0.04,0.00,-0.04,0.06
3.473,0.05,0.02,-0.04,0.07
3.483,0.08,0.01,-0.03,0.08
3.493,0.08,0.02,-0.06,0.10
3.503,0.08,0.01,-0.08,0.11
3.513,0.06,0.02,-0.05,0.08
3.523,0.07,-0.00,-0.04,0.08
3.533,0.07,-0.01,-0.03,0.08
3.543,0.02,-0.01,-0.03,0.04
3.553,0.00,-0.01,0.00,0.01
3.563,-0.01,-0.01,-0.00,0.02
3.573,-0.00,-0.02,-0.02,0.03
3.583,0.03,-0.02,-0.00,0.04
3.593,0.03,-0.00,0.03,0.04
3.603,0.02,0.01,0.02,0.03
3.613,0.04,0.02,0.01,0.05
3.623,0.04,0.00,0.01,0.04
3.633,0.04,0.01,0.03,0.05
3.642,0.07,-0.00,0.07,0.09
3.652,0.14,-0.01,0.17,0.21
3.663,-0.05,-0.04,-0.04,0.08
3.672,-0.02,0.03,-0.10,0.10
3.683,0.02,0.08,-0.14,0.16
3.692,0.01,0.01,-0.12,0.12
3.703,0.02,0.01,-0.10,0.10
3.712,0.05,0.01,-0.03,0.05
3.722,0.06,-0.02,-0.03,0.06
3.732,0.03,-0.02,-0.02,0.05
3.742,0.04,0.01,-0.00,0.04
3.752,-0.00,0.00,0.02,0.02
3.762,0.02,0.00,-0.01,0.02
3.772,0.03,0.01,-0.01,0.03
3.782,0.04,0.01,-0.02,0.05
3.792,0.04,0.00,-0.03,0.05
3.802,0.04,-0.00,-0.01,0.05
3.812,0.06,-0.00,0.02,0.07
3.822,0.06,0.00,-0.00,0.06
3.832,0.03,0.00,0.02,0.04
3.842,0.03,0.00,0.01,0.03
3.852,0.02,-0.00,0.00,0.02
3.862,0.03,-0.00,-0.01,0.03
3.872,0.03,-0.00,-0.01,0.03
3.882,0.02,0.00,-0.01,0.02
3.892,-0.03,0.01,-0.01,0.03
3.902,0.01,0.03,-0.01,0.03
3.912,0.05,0.02,-0.04,0.07
3.922,0.01,0.02,-0.06,0.06
3.932,0.01,0.02,-0.03,0.04
3.942,0.03,0.02,-0.02,0.05
3.952,0.05,0.00,-0.01,0.05
3.962,0.09,-0.05,-0.01,0.10
3.972,0.08,-0.01,-0.02,0.09
3.982,0.01,0.00,-0.03,0.04
3.992,-0.05,0.00,-0.03,0.06
4.002,-0.05,0.01,-0.02,0.05
4.011,0.01,0.02,0.01,0.02
4.021,0.05,0.01,0.03,0.06
4.032,0.07,-0.02,0.04,0.08
4.041,0.12,-0.06,0.02,0.13
4.051,0.12,-0.07,-0.02,0.14
4.062,0.06,-0.06,-0.05,0.09
4.071,-0.01,-0.01,-0.09,0.09
4.081,-0.06,0.04,-0.11,0.14
4.091,-0.05,0.06,-0.12,0.14
4.101,-0.02,0.06,-0.12,0.13
4.111,0.03,0.06,-0.07,0.10
4.121,0.11,0.03,-0.03,0.12
4.131,0.11,0.00,0.08,0.14
4.141,0.08,0.01,0.19,0.20
4.151,0.02,0.03,0.20,0.20
4.161,0.01,0.01,0.14,0.14
4.171,0.00,-0.01,0.08,0.08
4.181,0.01,-0.01,0.07,0.07
4.191,0.02,-0.02,0.05,0.05
4.201,0.02,-0.04,0.00,0.04
4.211,0.06,-0.03,-0.10,0.12
4.221,0.07,-0.03,-0.21,0.22
4.231,0.02,-0.02,-0.21,0.21
4.241,0.01,0.02,-0.18,0.19
4.251,-0.01,0.00,-0.13,0.14
4.261,-0.03,0.02,-0.10,0.11
4.271,-0.01,0.03,-0.10,0.11
4.281,0.04,0.01,-0.06,0.08
4.291,0.03,0.02,-0.02,0.04
4.301,0.01,0.04,0.01,0.04
4.311,0.06,0.03,0.04,0.08
4.322,0.06,0.00,0.09,0.11
4.336,0.02,0.00,0.13,0.13
4.346,-0.03,-0.02,0.13,0.14
4.356,0.03,-0.04,0.12,0.13
4.366,0.09,-0.06,0.12,0.16
4.376,0.06,-0.07,0.13,0.16
4.386,-0.02,-0.05,0.06,0.07
4.396,-0.02,-0.02,-0.02,0.04
4.406,0.03,-0.02,-0.09,0.10
4.416,0.04,0.02,-0.14,0.15
4.426,0.01,0.05,-0.14,0.15
4.436,-0.00,0.06,-0.14,0.15
4.446,0.03,0.08,-0.15,0.17
4.456,0.07,0.04,-0.12,0.14
4.466,0.04,0.02,-0.09,0.10
4.476,-0.02,0.02,-0.04,0.05
4.486,0.01,0.02,0.01,0.02
4.496,0.02,-0.00,0.05,0.05
4.506,0.03,0.00,0.05,0.06
4.516,0.01,-0.01,0.05,0.05
4.526,-0.03,-0.01,0.06,0.07
4.536,-0.06,0.06,0.04,0.09
4.546,0.01,-0.07,0.01,0.07
4.556,0.05,-0.11,0.01,0.12
4.565,0.09,-0.02,0.05,0.10
4.576,0.02,-0.04,0.04,0.06
4.585,0.07,-0.03,-0.01,0.08
4.595,0.10,-0.01,0.00,0.10
4.605,0.08,0.01,-0.02,0.08
4.615,0.05,0.03,-0.06,0.08
4.625,0.01,0.05,-0.10,0.11
4.635,0.03,0.08,-0.06,0.11
4.645,0.02,0.05,-0.17,0.18
4.655,0.06,-0.14,-0.13,0.20
4.665,0.10,-0.02,-0.01,0.11
4.675,0.07,-0.01,0.05,0.09
4.685,0.03,-0.06,0.02,0.07
4.695,0.05,-0.01,-0.01,0.05
4.705,0.03,0.03,-0.03,0.05
4.715,0.00,0.01,-0.05,0.05
4.725,-0.01,0.02,-0.03,0.04
4.735,-0.03,0.04,-0.03,0.05
4.745,-0.02,0.01,-0.01,0.02
4.755,0.03,0.00,0.01,0.04
4.765,0.03,-0.01,0.03,0.04
4.775,0.02,0.00,0.07,0.07
4.785,0.03,0.01,0.01,0.03
4.795,0.01,-0.00,0.01,0.02
4.805,0.03,-0.01,0.01,0.03
4.815,0.04,0.01,0.02,0.05
4.825,-0.01,0.01,-0.01,0.02
4.835,-0.03,0.02,-0.08,0.09
4.845,0.05,-0.01,-0.12,0.13
4.855,-0.03,0.02,-0.09,0.09
4.865,0.06,-0.02,0.01,0.06
4.875,0.07,-0.05,0.03,0.09
4.885,0.07,-0.00,0.04,0.08
4.895,0.03,-0.03,-0.03,0.05
4.905,0.05,-0.02,-0.07,0.09
4.915,0.08,0.00,-0.03,0.08
4.925,0.04,0.01,-0.03,0.05
4.935,-0.02,-0.01,-0.04,0.05
4.945,0.03,-0.02,-0.03,0.04
4.955,0.09,0.00,-0.05,0.10
4.965,0.09,-0.02,-0.08,0.12
4.975,0.05,-0.03,-0.01,0.05
4.985,0.01,-0.00,0.05,0.05
4.995,-0.01,0.02,0.04,0.05
5.005,0.02,0.00,0.01,0.02
5.014,0.03,-0.01,-0.01,0.04
5.024,0.05,-0.01,-0.00,0.05
5.035,0.08,-0.04,-0.01,0.09
5.044,0.06,-0.04,-0.06,0.09
5.054,0.01,-0.01,-0.05,0.05
5.064,-0.02,0.00,-0.03,0.04
5.074,0.01,0.00,-0.01,0.02
5.084,0.02,0.04,-0.01,0.05
5.094,-0.00,0.02,-0.10,0.10
5.104,0.08,-0.04,-0.12,0.15
5.114,0.15,-0.10,-0.02,0.18
5.124,0.15,-0.08,0.03,0.17
5.134,0.05,-0.06,0.00,0.08
5.144,-0.02,-0.02,-0.05,0.06
5.154,-0.06,0.04,-0.10,0.12
5.164,-0.07,0.08,-0.12,0.16
5.174,0.00,0.08,-0.13,0.15
5.184,0.05,0.04,-0.08,0.10
5.194,0.07,0.04,0.07,0.10
5.204,0.08,0.03,0.17,0.19
5.214,0.07,0.01,0.19,0.21
5.224,0.03,-0.00,0.17,0.18
5.234,0.01,0.01,0.14,0.14
5.244,-0.02,-0.00,0.08,0.08
5.254,-0.03,-0.03,0.03,0.06
5.264,-0.02,-0.02,0.03,0.04
5.274,0.02,-0.01,-0.04,0.05
5.284,0.06,-0.05,-0.09,0.12
5.294,0.05,-0.03,-0.12,0.13
5.304,0.04,-0.01,-0.13,0.14
5.314,0.04,-0.01,-0.12,0.13
5.324,0.04,0.02,-0.11,0.12
5.334,0.02,0.04,-0.11,0.12
5.344,0.02,0.05,-0.12,0.13
5.354,0.00,0.04,-0.12,0.13
5.364,-0.00,0.04,-0.05,0.07
5.374,0.06,0.02,0.01,0.06
5.384,0.06,0.03,0.08,0.10
5.394,0.03,0.02,0.09,0.09
5.404,0.02,-0.01,0.11,0.11
5.414,0.06,-0.03,0.12,0.14
5.424,0.09,-0.04,0.07,0.12
5.434,0.05,-0.05,0.01,0.07
5.444,-0.00,-0.06,0.02,0.07
5.454,-0.01,-0.04,0.02,0.05
5.464,-0.05,0.00,-0.04,0.07
5.474,-0.01,-0.00,-0.04,0.04
5.484,0.04,0.01,-0.02,0.04
5.493,0.05,0.04,-0.02,0.06
5.504,0.04,0.07,-0.06,0.10
5.514,0.07,0.04,-0.16,0.18
5.524,0.08,0.02,-0.16,0.18
5.534,0.06,0.00,-0.07,0.10
5.544,0.04,0.02,0.01,0.05
5.553,0.02,0.00,0.02,0.03
5.563,-0.03,0.01,-0.04,0.05
5.573,-0.05,-0.00,-0.11,0.12
5.583,0.00,-0.02,-0.04,0.05
5.593,0.04,-0.02,0.06,0.08
5.603,0.03,-0.04,0.07,0.09
5.613,-0.02,-0.02,0.07,0.07
5.623,-0.01,-0.00,0.01,0.02
5.633,0.07,-0.01,-0.06,0.09
5.643,0.06,-0.03,-0.00,0.07
5.653,0.05,0.02,0.07,0.09
5.663,0.07,0.06,0.03,0.10
5.673,0.08,0.02,-0.04,0.09
