time,wx,wy,wz
9.036,-0.01,0.04,-0.01
9.053,-0.00,0.04,-0.00
9.070,0.00,0.03,-0.00
9.086,0.01,0.01,-0.00
9.103,0.01,-0.01,-0.00
9.120,0.01,-0.02,-0.00
9.136,0.01,-0.02,-0.00
9.153,-0.00,-0.03,-0.00
9.170,-0.00,-0.03,-0.01
9.186,-0.00,-0.03,-0.01
9.203,0.00,-0.03,-0.01
9.220,-0.00,-0.03,-0.01
9.236,-0.00,-0.02,-0.01
9.253,0.00,-0.01,-0.01
9.270,0.00,-0.02,-0.01
9.286,0.00,-0.03,-0.01
9.303,0.01,-0.05,-0.00
9.320,0.00,-0.07,-0.00
9.336,0.01,-0.07,-0.00
9.353,0.00,-0.05,-0.01
9.370,-0.00,-0.02,-0.01
9.386,-0.00,-0.00,-0.01
9.403,-0.01,-0.00,-0.01
9.420,-0.00,-0.01,-0.01
9.437,0.00,-0.05,-0.00
9.470,0.00,-0.04,-0.00
9.486,-0.01,-0.02,-0.01
9.503,-0.01,-0.00,-0.01
9.536,-0.02,0.01,-0.01
9.553,-0.02,-0.01,-0.01
9.570,-0.02,-0.02,-0.01
9.586,-0.02,-0.02,-0.01
9.603,-0.01,-0.01,-0.01
9.620,-0.01,0.00,-0.01
9.636,-0.01,0.01,-0.01
9.653,-0.02,0.00,-0.00
9.670,-0.01,0.00,-0.00
9.686,-0.01,0.00,-0.00
9.703,-0.01,0.01,-0.01
9.720,-0.01,0.01,-0.01
9.736,-0.01,0.01,-0.01
9.753,-0.00,-0.00,-0.01
9.769,-0.01,-0.00,-0.02
9.786,-0.01,0.00,-0.02
9.803,-0.03,0.02,-0.02
9.820,-0.03,0.03,-0.02
9.836,-0.04,0.04,-0.02
9.853,-0.03,0.04,-0.01
9.870,-0.03,0.03,-0.00
9.886,-0.03,0.02,0.00
9.905,-0.03,0.02,0.00
9.920,-0.02,0.01,0.00
9.936,-0.02,0.02,-0.01
9.953,-0.01,0.03,-0.01
9.970,-0.01,0.03,-0.01
9.986,-0.00,0.03,-0.01
10.003,0.00,0.01,-0.01
10.020,-0.01,0.01,-0.00
10.053,-0.01,0.02,-0.01
10.070,-0.01,0.06,-0.01
10.086,-0.01,0.05,-0.01
10.120,-0.02,0.03,-0.00
10.136,-0.02,0.02,0.00
10.153,-0.02,0.02,0.00
10.170,-0.02,0.02,-0.00
10.186,-0.02,0.02,-0.00
10.203,-0.02,0.03,-0.01
10.220,-0.01,0.03,-0.01
10.236,-0.01,0.04,-0.01
10.253,-0.01,0.04,-0.00
10.270,-0.01,0.04,0.00
10.286,-0.00,0.03,0.00
10.303,0.00,0.02,0.00
10.320,-0.00,0.02,0.01
10.336,-0.00,0.02,0.00
10.353,-0.01,0.03,0.00
10.370,-0.01,0.04,-0.00
10.386,-0.01,0.04,-0.00
10.403,0.00,0.03,0.00
10.420,0.01,0.01,0.01
10.436,0.01,-0.01,0.01
10.453,0.01,-0.02,0.01
10.469,0.01,-0.02,0.01
10.486,0.01,-0.02,0.01
10.503,0.01,-0.02,0.01
10.520,0.01,-0.02,0.00
10.536,0.01,-0.02,0.01
10.553,0.01,-0.03,0.01
10.570,0.00,-0.02,0.01
10.586,0.00,-0.02,0.00
10.602,0.00,-0.01,-0.00
10.620,0.00,-0.00,-0.00
10.636,0.01,-0.01,0.00
10.653,0.01,-0.02,0.00
10.670,0.00,-0.01,0.00
10.703,0.00,0.00,0.00
10.720,-0.00,0.02,-0.00
10.736,0.00,0.02,-0.00
10.770,-0.00,0.01,0.00
10.786,-0.00,0.00,0.00
10.803,0.00,0.00,0.00
10.820,0.00,0.00,0.00
10.836,0.00,0.00,0.00
10.853,0.00,-0.00,0.00
10.870,0.00,-0.01,0.00
10.886,0.01,-0.00,0.00
10.903,0.00,0.00,0.00
10.920,-0.00,0.01,-0.00
10.936,-0.00,0.02,-0.00
10.956,-0.00,0.01,-0.00
10.970,-0.00,0.01,0.00
10.986,-0.00,0.01,0.00
11.003,-0.00,0.01,0.00
11.020,-0.01,0.02,0.00
11.036,-0.01,0.03,0.00
11.053,-0.01,0.03,0.00
11.070,-0.01,0.03,0.00
11.086,-0.00,0.02,0.01
11.103,-0.01,0.01,0.01
11.120,-0.01,0.01,0.01
11.136,-0.02,0.04,-0.01
11.153,-0.02,0.07,-0.02
11.170,-0.03,0.10,-0.03
11.186,-0.03,0.11,-0.04
11.203,-0.03,0.13,-0.04
11.220,-0.03,0.14,-0.03
11.236,-0.04,0.15,-0.02
11.253,-0.03,0.16,-0.02
11.286,-0.04,0.17,-0.03
11.303,-0.06,0.20,-0.04
11.319,-0.06,0.19,-0.03
11.353,-0.04,0.14,-0.02
11.370,-0.03,0.13,-0.01
11.386,-0.02,0.14,0.00
11.403,-0.03,0.19,0.01
11.419,-0.04,0.26,0.01
11.436,-0.03,0.31,0.02
11.453,-0.02,0.32,0.03
11.470,-0.00,0.28,0.04
11.486,0.01,0.20,0.05
11.503,0.01,0.13,0.06
11.520,0.01,0.08,0.05
11.536,0.01,0.08,0.04
11.553,0.03,0.11,0.03
11.570,0.04,0.15,0.02
11.586,0.04,0.15,0.02
11.603,0.03,0.13,0.03
11.620,0.01,0.08,0.05
11.636,-0.01,0.04,0.07
11.653,-0.01,0.04,0.08
11.670,-0.01,0.08,0.08
11.686,-0.02,0.13,0.08
11.703,-0.05,0.17,0.08
11.720,-0.07,0.18,0.07
11.736,-0.08,0.19,0.08
11.753,-0.08,0.18,0.09
