time,ax,ay,az,atotal
3.502,0.16,-0.05,0.14,0.21
3.512,0.12,-0.01,0.13,0.18
3.522,0.10,0.04,0.09,0.14
3.532,0.08,0.06,0.04,0.11
3.542,0.07,0.03,0.00,0.07
3.552,0.11,-0.01,-0.06,0.13
3.562,0.15,-0.04,-0.09,0.18
3.572,0.22,-0.07,-0.12,0.26
3.582,0.26,-0.07,-0.13,0.30
3.592,0.27,-0.04,-0.13,0.30
3.602,0.26,-0.03,-0.11,0.29
3.612,0.23,0.00,-0.08,0.25
3.622,0.21,0.02,-0.05,0.22
3.632,0.17,-0.00,-0.02,0.17
3.642,0.15,-0.04,0.01,0.15
3.652,0.16,-0.05,0.02,0.17
3.662,0.18,-0.05,0.01,0.19
3.672,0.21,-0.02,0.01,0.21
3.682,0.23,-0.00,-0.04,0.23
3.692,0.27,0.00,-0.09,0.28
3.702,0.31,0.01,-0.14,0.34
3.712,0.29,0.01,-0.17,0.34
3.722,0.26,0.00,-0.19,0.32
3.732,0.19,-0.00,-0.18,0.26
3.742,0.11,0.05,-0.16,0.20
3.752,0.02,0.12,-0.12,0.17
3.762,-0.06,0.12,-0.08,0.16
3.772,-0.15,0.10,-0.05,0.18
3.782,-0.18,0.11,-0.03,0.21
3.792,-0.18,0.13,0.02,0.22
3.802,-0.13,0.15,0.05,0.20
3.812,-0.08,0.15,0.07,0.19
3.822,-0.01,0.14,0.10,0.17
3.831,0.09,0.14,0.12,0.21
3.842,0.15,0.12,0.11,0.22
3.852,0.20,0.05,0.09,0.23
3.862,0.23,0.00,0.09,0.25
3.872,0.22,-0.04,0.08,0.23
3.881,0.18,-0.04,0.10,0.21
3.891,0.13,-0.02,0.12,0.18
3.901,0.07,-0.00,0.14,0.16
3.911,-0.01,-0.01,0.16,0.16
3.921,-0.07,-0.04,0.19,0.21
3.931,-0.13,-0.10,0.19,0.25
3.941,-0.16,-0.12,0.19,0.28
3.951,-0.17,-0.11,0.17,0.26
3.961,-0.19,-0.10,0.16,0.26
3.971,-0.13,-0.06,0.14,0.20
3.981,-0.05,-0.05,0.11,0.14
3.991,0.04,-0.06,0.08,0.11
4.001,0.12,-0.11,0.05,0.17
4.011,0.21,-0.17,0.01,0.27
4.021,0.28,-0.16,0.01,0.33
4.031,0.30,-0.15,0.04,0.34
4.041,0.31,-0.12,0.08,0.34
