time,wx,wy,wz
2.844,-0.01,0.00,-0.01
2.854,-0.00,0.01,-0.00
2.864,-0.00,0.01,-0.01
2.874,0.00,0.00,-0.01
2.884,0.00,0.01,-0.00
2.894,0.01,0.01,-0.01
2.904,0.01,0.01,-0.01
2.914,0.01,0.01,-0.01
2.924,0.01,0.01,-0.01
2.934,0.01,0.01,-0.00
2.944,0.01,0.01,-0.00
2.954,0.01,0.01,-0.00
2.964,0.00,0.01,-0.00
2.974,-0.00,0.01,-0.01
2.984,0.00,0.01,-0.01
2.994,0.01,0.01,-0.01
3.004,0.01,0.01,-0.01
3.014,0.01,0.01,-0.01
3.024,0.01,0.00,-0.00
3.034,0.01,0.00,-0.00
3.044,0.00,0.00,-0.00
3.054,-0.00,0.00,0.00
3.064,-0.01,0.00,0.00
3.074,-0.01,0.01,0.01
3.084,-0.01,0.01,0.01
3.094,-0.01,0.01,0.01
3.104,-0.01,0.01,0.00
3.114,-0.01,0.01,0.00
3.124,-0.01,0.01,-0.00
3.134,-0.00,0.01,-0.00
3.144,0.00,0.01,-0.00
3.154,0.00,0.01,-0.00
3.164,0.01,0.01,-0.00
3.174,0.01,0.01,-0.00
3.184,0.01,0.00,-0.00
3.194,0.01,0.00,-0.00
3.204,0.00,-0.00,-0.00
3.214,0.00,-0.00,-0.00
3.224,0.01,-0.00,-0.01
3.234,0.01,-0.00,-0.01
3.243,0.01,-0.00,-0.01
3.253,-0.00,-0.00,-0.00
3.263,-0.01,-0.00,0.00
3.273,-0.02,-0.00,0.00
3.283,-0.02,0.00,0.00
3.293,-0.02,0.01,0.00
3.303,-0.01,0.01,0.00
3.313,-0.02,0.01,-0.00
3.323,-0.01,0.01,-0.00
3.333,-0.01,0.01,-0.00
3.343,-0.00,0.00,-0.00
3.353,-0.00,-0.00,-0.00
3.363,0.00,-0.00,-0.00
3.373,0.01,0.00,-0.00
3.383,0.01,0.00,-0.00
3.393,0.01,0.00,-0.00
3.403,0.01,0.00,-0.00
3.413,0.01,0.00,-0.00
3.423,0.01,0.00,-0.00
3.433,0.01,0.00,-0.00
3.443,0.00,0.00,-0.01
3.453,0.00,-0.00,-0.01
3.463,-0.00,0.00,-0.01
3.473,-0.00,0.00,-0.01
3.483,-0.00,0.00,-0.00
3.493,0.00,0.00,-0.00
3.503,-0.00,0.00,-0.00
3.513,-0.00,0.00,-0.00
3.523,-0.00,0.00,-0.00
3.533,-0.01,0.00,-0.00
3.543,-0.01,0.00,-0.00
3.553,-0.01,0.00,-0.00
3.563,-0.01,0.00,0.00
3.573,-0.00,0.00,0.00
3.583,-0.00,0.00,0.00
3.593,-0.00,0.00,0.00
3.603,0.00,0.00,0.00
3.613,0.00,0.01,0.00
3.623,0.00,0.00,0.00
3.633,0.00,0.00,0.00
3.643,0.00,0.00,0.00
3.653,0.00,0.00,0.00
3.663,0.00,0.00,-0.00
3.673,0.01,0.00,0.00
3.683,0.01,0.00,0.00
3.693,0.01,0.00,0.00
3.703,0.01,0.00,0.00
3.712,0.01,0.00,0.00
3.722,0.01,0.00,0.00
3.732,0.01,0.00,0.00
3.742,0.01,0.00,0.00
3.752,0.01,0.00,0.00
3.762,0.00,0.00,0.00
3.772,0.00,0.00,0.00
3.782,0.01,0.00,0.00
3.792,0.00,0.00,0.00
